Time	Sum	Command
39	12594	> __fish_on_interactive
233	233	-> functions -e __fish_on_interactive
413	12322	-> __fish_config_interactive
2758	2805	--> source /usr/share/fish/functions/__fish_config_interactive.fish
47	47	---> function __fish_config_interactive -d "Initializations that should be performed when entering interactive mode"...
5	21	--> if not set -q __fish_initialized...
16	16	---> not set -q __fish_initialized
12	12	--> set -g __fish_active_key_bindings
12	12	--> function __init_uvar -d "Sets a universal variable if it's not already set"...
4	25	--> if test $__fish_initialized -lt 3400...
21	21	---> test $__fish_initialized -lt 3400
2	14	--> if test $__fish_initialized -lt 3800...
12	12	---> test $__fish_initialized -lt 3800
32	108	--> if not set -q FISH_UNIT_TESTS_RUNNING...
9	9	---> not set -q FISH_UNIT_TESTS_RUNNING
20	20	---> set -l script $__fish_data_dir/tools/create_manpage_completions.py
4	47	---> if not test -d $__fish_cache_dir/generated_completions...
43	43	----> not test -d $__fish_cache_dir/generated_completions
10	764	--> if status --is-interactive...
10	10	---> status --is-interactive
166	656	---> functions -q fish_greeting
482	490	----> source /usr/share/fish/functions/fish_greeting.fish
8	8	-----> function fish_greeting...
31	88	---> fish_greeting
3	14	----> if not set -q fish_greeting...
11	11	-----> not set -q fish_greeting
3	28	----> if set -q fish_private_mode...
25	25	-----> set -q fish_private_mode
15	15	----> test -n "$fish_greeting"
2	19	--> if test -d /etc/init.d...
17	17	---> test -d /etc/init.d
112	112	--> complete -c [ --wraps test
14	14	--> complete -c ! --wraps not
470	1213	--> complete -c(builtin -n | string match -rv '(\.|:|source|cd|contains|count|echo|exec|printf|random|realpath|set|\\[|test|for)') --no-files
743	743	---> builtin -n | string match -rv '(\.|:|source|cd|contains|count|echo|exec|printf|random|realpath|set|\\[|test|for)'
20	20	--> function __fish_reload_key_bindings -d "Reload key bindings when binding variable change" --on-variable fish_key_bindings...
57	5978	--> __fish_reload_key_bindings
27	56	---> __init_uvar fish_key_bindings fish_default_key_bindings
5	29	----> if not set --query $argv[1]...
24	24	-----> not set --query $argv[1]
3	48	---> if test "$fish_key_bindings" = "$__fish_active_key_bindings" -a -n "$fish_key_bindings"...
